Id,Label
173,"Théodore GÉRICAULT - Officer of the Hussars"
174,"Mark GERTLER - The Merry-Go-Round"
175,"Lorenzo GHIBERTI - David and Goliath"
176,"Domenico GHIRLANDAIO - Portrait of Giovanna Tornabuoni"
177,"Alberto GIACOMETTI - Walking Man"
178,"GIAMBOLOGNA - The Rape of a Sabine"
179,"GILBERT AND GEORGE - Thumbing"
180,"Harold GILMAN - An Eating House"
181,"Luca GIORDANO - The Dream of Solomon"
182,"GIORGIONE - The Tempest"
183,"GIOTTO - The Lamentation"
184,"Romano GIULIO - Room of the Giants"
185,"Hugo VAN DER GOES - The Fall of Man"
186,"Vincent VAN GOGH - Sunflowers"
187,"Natalia GONTCHAROVA - Street in Moscow"
188,"Arshille GORKY - The Waterfall"
189,"Francisco GOYA - Portrait of the Duchess of Alba"
190,"Jan VAN GOYEN - A Castle by a River with Shipping at a Quay"
191,"Benozzo GOZZOLI - The Journey of the Magi"
192,"EL GRECO - The Burial of Count Orgaz"
193,"Jean-Baptiste GREUZE - The Guitarist"
194,"Atkinson GRIMSHAW - Nightfall down the Thames"
195,"Juan GRIS - Glasses, Newspaper and a Bottle of Wine"
196,"Antoine Jean, Baron GROS - Napoleon Bonaparte on the Bridge at Arcole"
197,"George GROSZ - Berlin Streetscene"
198,"Matthias GRUNEWALD - The Crucifixion"
199,"Francesco GUARDI - An Architectural Caprice"
200,"GUERCINO - Jacob Receiving Joseph's Coat"
201,"Philip GUSTON - Sleeping"
202,"Frans HALS - Portrait of a Young Man with a Skull"
203,"Richard HAMILTON - Just What is it... "
204,"Wilhelm HAMMERSHOI - Interior with a Girl at the Clavier"
205,"Hans HARTUNG - T 1956/7"
206,"Childe HASSAM - The Room of Flowers"
207,"Raoul HAUSMANN - The Art Critic"
208,"Stanley William HAYTER - Claduègne"
209,"Erich HECKEL - Windmill, Dangast"
210,"Jan Davidsz DE HEEM - Still Life of Dessert"
211,"Barbara HEPWORTH - Hollow Form with White Interior"
212,"Nicholas HILLIARD - Young Man Leaning Against a Tree"
213,"Ando HIROSHIGE - Moonlight, Nagakubo"
214,"Meindert HOBBEMA - Road on a Dyke"
215,"David HOCKNEY - A Bigger Splash"
216,"Howard HODGKIN - Lovers"
217,"Ferdinand HODLER - Lake Thun"
218,"Hans HOFMANN - Fairy Tale"
219,"William HOGARTH - Breakfast Scene, from Marriage à la Mode"
220,"Katsushika HOKUSAI - Mount Fuji in Clear Weather"
221,"Hans HOLBEIN - The Ambassadors"
222,"Winslow HOMER - Breezing Up"
223,"Gerrit van HONTHORST - The Concert"
224,"Pieter DE HOOCH - Woman and a Maid with a Pail in a Courtyard"
225,"Edward HOPPER - People in the Sun"
226,"Jean-Antoine HOUDON - Bust of Denis Diderot"
227,"William Holman HUNT - The Awakening Conscience"
228,"Jean Auguste Dominique INGRES - The Bather of Valpinçon"
229,"Alexander IVANOV - The Appearance of Christ to the People"
230,"Alexei von JAWLENSKY - Schokko"
231,"Gwen JOHN - The Precious Book"
232,"Jasper JOHNS - Three Flags"
233,"Allen JONES - Man Woman"
234,"Jacob JORDAENS - The Four Evangelists"
235,"Donald JUDD - Untitled"
236,"Frida KAHLO - What the Water Gave Me"
237,"Willem KALF - Still Life with Lobster, Drinking Horn and Glasses"
238,"Wassily KANDINSKY - Cossacks"
239,"Anish KAPOOR - Installation: It is Man, Untitled II Parts"
240,"Angelica KAUFFMANN - David Garrick"
241,"Ellsworth KELLY - Red Blue Green Yellow"
242,"Anselm KIEFER - Song of the Wayland"
243,"Ernst Ludwig KIRCHNER - Self-portrait with Model"
244,"R B KITAJ - If Not, Not"
245,"Paul KLEE - Senecio"
246,"Yves KLEIN - IKB 79"
247,"Gustav KLIMT - The Kiss"
248,"Franz KLINE - Untitled"
249,"Sir Godfrey KNELLER - John, First Duke of Marlborough"
250,"Oskar KOKOSCHKA - Portrait of a 'Degenerate Artist'"
251,"Willem DE KOONING - Marilyn Monroe"
252,"Jeff KOONS - Puppy"
253,"Leon KOSSOFF - Christchurch No. 1"
254,"Peter Severin KROYER - Summer Evening on the Southern Beach"
255,"Frantisek KUPKA - Cathedral"
256,"Wilfredo LAM - The Jungle"
257,"Nicolas LANCRET - A Lady and a Gentleman with Two Girls in a Garden"
258,"Sir Edwin LANDSEER - Wild Cattle at Chillingham"
259,"Peter LANYON - Fly Away"
260,"Georges de LA TOUR - The Cheat with the Ace of Diamonds"
261,"Marie LAURENCIN - The Dancers"
262,"Sir Thomas LAWRENCE - The Duke of Wellington"
263,"Fernand LÉGER - The Builders"
264,"Frederic, Lord LEIGHTON - The Bath of Psyche"
265,"Sir Peter LELY - Charles I with James, Duke of York"
266,"LEONARDO DA VINCI - Mona Lisa"
267,"Wyndham LEWIS - A Battery Shelled"
268,"Sol LEWITT - Open Geometric Structure IV"
269,"Roy LICHTENSTEIN - In the Car"
270,"Jean and Paul LIMBOURG - January"
271,"Jean-Étienne LIOTARD - The Chocolate Pot"
272,"Jacques LIPCHITZ - Half-standing Figure"
273,"Filippino LIPPI - Portrait of an Old Man"
274,"Fra Filippo LIPPI - The Coronation of the Virgin"
275,"El LISSITZKY - Composition"
276,"Stefan LOCHNER - The Virgin and Child in a Rose Arbour"
277,"Richard LONG - Cornwall Slate Line"
278,"Pietro LONGHI - Exhibition of a Rhinoceros at Venice"
